augmentation_method,idx,Gloss level Korean Sign Language (GKSL) sentence,Word level Korean Language (WKL) sentence
SR,200,나 너 -보다 키크다,내가 자네보다 더 커
SR,201,너 -보다 나 더 예쁘다,내가 자네보다 이뻐
SR,202,저 방 갇히다,제가 방에 갇혔어요.
SR,203,싫다 무엇 야채,내가 싫어하는 음식은 채소다
SR,204,나 가능 일 무엇,제가 할 수 있는 일이 뭐가 있을까
SR,205,나 가능 일 무엇,내가 할 수 있는 작업이 뭐가 있을까
SR,206,나 가능 일 무엇,내가 할 수 있는 노동이 뭐가 있을까
SR,207,내리다 시간 알려주다,내릴 경우 알려드릴까요?
SR,208,내리다 시간 알려주다,내릴 시기 알려드릴까요?
SR,209,내리다 시간 알려받다,내릴 경우 알려주세요.
SR,210,내리다 시간 알려받다,내릴 시기 알려주세요.
SR,211,너 저기 남자 친하다,자네 그 남자와 친해?
SR,212,너 저기 남자 친하다,너 그 사나이와 친해?
SR,213,너 저기 남자 친하다,너 그 남성과 친해?
SR,214,너 때문에 못하다,자네 때문에 못했잖아
SR,215,너 계속 반복 데려가다 안하다,자네 자꾸 이러면 안 데리고 갈거다
SR,216,너 나 피 귀잡다 같다,자네랑 나는 혈액형이 똑같다
SR,217,너 위하다 준비 끝,자네를 위해 준비했어
SR,218,너 위하다 준비 끝,너를 위해 채비했어
SR,219,너 위하다 준비 끝,너를 위해 장만했어
SR,220,너 위하다 준비 끝,너를 위해 마련했어
SR,221,너무 춥다 옷 두껍다 입다,너무 추워서 의복을 두껍게 입었다
SR,222,너무 춥다 옷 두껍다 입다,너무 추워서 의상을 두껍게 입었다
SR,223,너 -보다 여자 더 마르다,자네보다 그 여자가 더 말랐어
SR,224,너 -보다 여자 더 마르다,너보다 그 부녀자가 더 말랐어
SR,225,너 -보다 여자 더 마르다,너보다 그 여성이 더 말랐어
SR,226,나 너 비교 나 빠르다,자네보다 내가 더 빨라
SR,227,너 마음 궁금,네 사고가 궁금해
SR,228,너 마음 궁금,네 견해가 궁금해
SR,229,너 마음 궁금,네 의견이 궁금해
SR,230,너 마음 궁금,네 의사가 궁금해
SR,231,너 오다 그렇다면 감사,너가 와주면 고맙겠구나
SR,232,너 오다 그렇다면 감사,자네가 와주면 고맙겠구나
SR,233,놀다 원하다 많다 놀다,놀고 싶을경우 실컷 놀아라
SR,234,누나 동생 심부름 시키다 시장 보내다,누나가 동생을 장에 심부름을 보냈다
SR,235,누나 동생 심부름 시키다 시장 보내다,누나가 동생을 매점에 심부름을 보냈다
SR,236,담배 몸 나쁘다,담배는 기력에 나쁘다
SR,237,도착,당도했나요?
SR,238,도착,당도했습니다.
SR,239,나 돈 때문에 걱정 -중,돈 때문에 염려가 많아
SR,240,나 돈 때문에 걱정 -중,돈 때문에 근심이 많아
SR,241,둘 성격 원인 헤어지다,두 인간은 성격차이로 헤어졌다
SR,242,둘 성격 원인 헤어지다,두 분은 성격차이로 헤어졌다
SR,243,차  빌리다  어디  곳,렌트카를 빌리는 위치은 어디에 있습니까?
SR,244,차  빌리다  곳  어디,렌트카를 빌리는 위치은 어디에 있습니까?
SR,245,차  빌리다  어디,렌트카를 빌리는 위치은 어디에 있습니까?
SR,246,차  빌리다  곳,렌트카를 빌리는 위치은 어디에 있습니까?
SR,247,차  빌리다  어디  곳,렌트카를 빌리는 장소는 어디에 있습니까?
SR,248,차  빌리다  곳  어디,렌트카를 빌리는 장소는 어디에 있습니까?
SR,249,차  빌리다  어디,렌트카를 빌리는 장소는 어디에 있습니까?
SR,250,차  빌리다  곳,렌트카를 빌리는 장소는 어디에 있습니까?
SR,251,충분하다,충족합니다.
SR,252,충분하다,풍부합니다.
SR,253,충분하다,충분합니다.
SR,254,맡다 일 완료 끝,맡은 의무을 거뜬히 해낸다
SR,255,맡다 일 완료 끝,맡은 직분을 거뜬히 해낸다
SR,256,맡다 일 완료 끝,맡은 업무을 거뜬히 해낸다
SR,257,맡다 일 완료 끝,맡은 기능을 거뜬히 해낸다
SR,258,맡다 일 완료 끝,맡은 임무을 거뜬히 해낸다
SR,259,맡다 일 완료 끝,맡은 직무을 거뜬히 해낸다
SR,260,맡다 일 완료 끝,맡은 구실을 거뜬히 해낸다
SR,261,매일 살다 여전히 지겹다,매일 반복되는 매일이 지겹다
SR,262,매일 살다 여전히 지겹다,매일 반복되는 나날이 지겹다
SR,263,멀리 오다 수고 많다,먼길 오느라 노고 많았어
SR,264,다음 몇분,몇 분 뒤에 다음 역에 당도할까요?
SR,265,도착 가능 몇분,몇 분 뒤에 당도할까요?
SR,266,모두 일 쉽다 아니다,모든 작업이 쉽게 이루어지지 않는다
SR,267,모두 일 쉽다 아니다,모든 노동이 쉽게 이루어지지 않는다
SR,268,음성 작다 안들리다,목청이 작아서 잘 안들린다
SR,269,음성 작다 안들리다,음성이 작아서 잘 안들린다
SR,270,몸 힘들다 빨리 가다 쉬다,신체도 불편한데 일찍 가서 쉬십시오
SR,271,몸 병 뜨겁다 머리 진통,신체에 열이 많이 나고 두통이 심해요.
SR,272,몸 괜찮다 ?,신체는 괜찮아?
SR,273,몸 힘들다 마음 편하다,몸뚱이는 힘들지만 마음을 편하다
SR,274,몸 힘들다 마음 편하다,신체는 힘들지만 마음을 편하다
SR,275,몸 힘들다 마음 편하다,몸은 힘들지만 심정을 편하다
SR,276,몸 움직이다 몸 마르다 가능,몸뚱이을 자주 움직여야 살이 빠진다
SR,277,몸 움직이다 몸 마르다 가능,신체를 자주 움직여야 살이 빠진다
SR,278,몸 손묶다 갇히다,몸뚱이가 결박 당해있어요.
SR,279,몸 손묶다 갇히다,신체가 결박 당해있어요.
SR,280,몸 아프다 원인 모두 귀찮다,몸뚱이가 아파서 다 귀찮다
SR,281,몸 아프다 원인 모두 귀찮다,신체가 아파서 다 귀찮다
SR,282,몸 병 아프다,몸뚱이가 아프다
SR,283,몸 병 아프다,신체가 아프다
SR,284,무섭다 이야기 하지마 제발,무서운 이야기는 제발 그만둬요
SR,285,생각 무엇,무슨 사고해
SR,286,문 몸 끼다,문에 신체가 끼었어요.
SR,287,미래 위해 미리 준비 필요하다,향후를 위해 준비해야 한다
SR,288,미래 위해 미리 준비 필요하다,장래를 위해 준비해야 한다
SR,289,미래 위해 미리 준비 필요하다,앞날을 위해 준비해야 한다
SR,290,미래 위해 미리 준비 필요하다,다음을 위해 준비해야 한다
SR,291,미래 위해 미리 준비 필요하다,미래를 위해 채비해야 한다
SR,292,미래 위해 미리 준비 필요하다,미래를 위해 장만해야 한다
SR,293,미래 위해 미리 준비 필요하다,미래를 위해 마련해야 한다
SR,294,낯선 밖다 걷다,밖에 모르는 인간이 서성거려요.
SR,295,낯선 밖다 걷다,밖에 모르는 분이 서성거려요.
SR,296,밖 불 119 부르다 부탁,밖에 불길이 났어요. 소방차를 불길러주세요.
SR,297,밖 싸움 경찰 부르다 부탁,밖에 싸움이 났어요. 순경을 불러주세요.
SR,298,밖 춥다 나오다 하지마 집 계시다,밖은 추우니 나오지 말고 댁에 있어
SR,299,지하철 반대 건너다 가다,반대편 정류소로 가려고 합니다.
SR,300,지하철 반대 건너다 가다,반대편 정류장으로 가려고 합니다.
SR,301,지하철 반대 건너다 가다,반대편 정거장으로 가려고 합니다.
SR,302,지하철 반대 건너다 방법,반대편 정류소로 어떻게 갈 수 있나요?
SR,303,지하철 반대 건너다 방법,반대편 정류장으로 어떻게 갈 수 있나요?
SR,304,지하철 반대 건너다 방법,반대편 정거장으로 어떻게 갈 수 있나요?
SR,305,배우다 했었다 겸손,배운 인간이 더 겸손하다
SR,306,버스 전 저기 곳 저기,버스정류소 못가서 내려주세요.
SR,307,버스 전 곳 저기 내리다,버스정류소 못가서 내려주세요.
SR,308,버스 전 곳 저기 차내리다,버스정류소 못가서 내려주세요.
SR,309,버스 전 곳 저기 도착 내리다,버스정류소 못가서 내려주세요.
SR,310,버스 전 곳 저기 도착 차내리다,버스정류소 못가서 내려주세요.
SR,311,버스 곳 전 보다 내리다,버스정류소 못가서 내려주세요.
SR,312,버스 곳 전 보다 차내리다,버스정류소 못가서 내려주세요.
SR,313,버스 전 곳 보다 내리다,버스정류소 못가서 내려주세요.
SR,314,버스 전 곳 보다 차내리다,버스정류소 못가서 내려주세요.
SR,315,버스 곳 전 보다 도착 내리다,버스정류소 못가서 내려주세요.
SR,316,버스 전 저기 곳 저기,버스승차장 못가서 내려주세요.
SR,317,버스 전 곳 저기 내리다,버스승차장 못가서 내려주세요.
SR,318,버스 전 곳 저기 차내리다,버스승차장 못가서 내려주세요.
SR,319,버스 전 곳 저기 도착 내리다,버스승차장 못가서 내려주세요.
SR,320,버스 전 곳 저기 도착 차내리다,버스승차장 못가서 내려주세요.
SR,321,버스 곳 전 보다 내리다,버스승차장 못가서 내려주세요.
SR,322,버스 곳 전 보다 차내리다,버스승차장 못가서 내려주세요.
SR,323,버스 전 곳 보다 내리다,버스승차장 못가서 내려주세요.
SR,324,버스 전 곳 보다 차내리다,버스승차장 못가서 내려주세요.
SR,325,버스 곳 전 보다 도착 내리다,버스승차장 못가서 내려주세요.
SR,326,버스 전 저기 곳 저기,버스정거장 못가서 내려주세요.
SR,327,버스 전 곳 저기 내리다,버스정거장 못가서 내려주세요.
SR,328,버스 전 곳 저기 차내리다,버스정거장 못가서 내려주세요.
SR,329,버스 전 곳 저기 도착 내리다,버스정거장 못가서 내려주세요.
SR,330,버스 전 곳 저기 도착 차내리다,버스정거장 못가서 내려주세요.
SR,331,버스 곳 전 보다 내리다,버스정거장 못가서 내려주세요.
SR,332,버스 곳 전 보다 차내리다,버스정거장 못가서 내려주세요.
SR,333,버스 전 곳 보다 내리다,버스정거장 못가서 내려주세요.
SR,334,버스 전 곳 보다 차내리다,버스정거장 못가서 내려주세요.
SR,335,버스 곳 전 보다 도착 내리다,버스정거장 못가서 내려주세요.
SR,336,버스 곳 다음 여기,버스정류소 지나서 내려드릴까요?
SR,337,버스 곳 다음 내리다,버스정류소 지나서 내려드릴까요?
SR,338,버스 곳 다음 차내리다,버스정류소 지나서 내려드릴까요?
SR,339,버스 곳 저기 다음 곳,버스정류소 지나서 내려드릴까요?
SR,340,버스 곳 저기 다음 도착 내리다,버스정류소 지나서 내려드릴까요?
SR,341,버스 곳 저기 다음 도착 차내리다,버스정류소 지나서 내려드릴까요?
SR,342,버스 곳 다음 여기,버스승차장 지나서 내려드릴까요?
SR,343,버스 곳 다음 내리다,버스승차장 지나서 내려드릴까요?
SR,344,버스 곳 다음 차내리다,버스승차장 지나서 내려드릴까요?
SR,345,버스 곳 저기 다음 곳,버스승차장 지나서 내려드릴까요?
SR,346,버스 곳 저기 다음 도착 내리다,버스승차장 지나서 내려드릴까요?
SR,347,버스 곳 저기 다음 도착 차내리다,버스승차장 지나서 내려드릴까요?
SR,348,버스 곳 다음 여기,버스정거장 지나서 내려드릴까요?
SR,349,버스 곳 다음 내리다,버스정거장 지나서 내려드릴까요?
SR,350,버스 곳 다음 차내리다,버스정거장 지나서 내려드릴까요?
SR,351,버스 곳 저기 다음 곳,버스정거장 지나서 내려드릴까요?
SR,352,버스 곳 저기 다음 도착 내리다,버스정거장 지나서 내려드릴까요?
SR,353,버스 곳 저기 다음 도착 차내리다,버스정거장 지나서 내려드릴까요?
SR,354,버스 곳 다음 여기,버스정류소 지나서 내려주세요.
SR,355,버스 곳 다음 내리다,버스정류소 지나서 내려주세요.
SR,356,버스 곳 다음 차내리다,버스정류소 지나서 내려주세요.
SR,357,버스 곳 저기 다음 곳,버스정류소 지나서 내려주세요.
SR,358,버스 곳 저기 다음 도착 내리다,버스정류소 지나서 내려주세요.
SR,359,버스 곳 저기 다음 도착 차내리다,버스정류소 지나서 내려주세요.
SR,360,버스 곳 다음 여기,버스승차장 지나서 내려주세요.
SR,361,버스 곳 다음 내리다,버스승차장 지나서 내려주세요.
SR,362,버스 곳 다음 차내리다,버스승차장 지나서 내려주세요.
SR,363,버스 곳 저기 다음 곳,버스승차장 지나서 내려주세요.
SR,364,버스 곳 저기 다음 도착 내리다,버스승차장 지나서 내려주세요.
