Headword,POS,Same_Sign_Words,Additional_Info,Homonym_Info
각기,Adverb,개별 | 각 | 각각 | 개개 | 낱낱이 | 제각기 | 각자,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
각료,Noun,,,
각별,Adverb,특히 | 별 | 특별 | 특수 | 특별히,,
각양각색,Noun,형형색색 | 가지각색,,
각오,Noun,결심 | 작정,,
각자,Noun,개별 | 각 | 각각 | 각기 | 개개 | 낱낱이 | 제각기,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
간,Noun,짜다 | 소금 | 깐깐하다 | 까다롭다,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
간간이,Adverb,간혹 | 가끔 | 때때로 | 이따금 | 종종 | 드문드문 | 종종히 | 혹,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
간단하다,Adjective,간략하다 | 간편하다 | 단순 | 편리 | 편의,,
간략하다,Adjective,간단하다 | 간편하다 | 단순 | 편리 | 편의,,
간부,Noun,위원,,
간사하다,Adjective,속이다,,
간섭,Noun,참견 | 파헤치다 | 헤치다,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
간음,Noun,,,
간장,Noun,간,,
간절,Adjective,,,
간접,Noun,,,
간첩,Noun,스파이 | 첩자,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
간추리다,Verb,집약 | 요약하다,,
간편하다,Adjective,간단하다 | 간략하다 | 단순 | 편리 | 편의,,
간호,Noun,문병 | 병간호 | 병문안,,
간호사,Noun,,,
간혹,Adverb,가끔 | 때때로 | 이따금 | 종종 | 간간이 | 드문드문 | 종종히 | 혹,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
갇히다,Verb,구류 | 하지 못하게 하다 | 지배,,
갈고닦다,Verb,연마 | 단련,,
갈급,Adjective,싶다,,
갈다,Verb,바꾸다 | 교대 | 교체 | 변경 | 변동,,
갈등,Noun,마찰 | 거북하다 | 껄끄럽다 | 낯설다,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
갈라지다,Verb,분열,,
갈망,Noun,,,
갈비,Noun,늑골 | 갈비뼈,,
갈비뼈,Noun,갈비 | 늑골,,
갈비찜,Noun,갈비탕,,
갈비탕,Noun,갈비찜,,
갈색,Noun,,,
갈증,Noun,목마르다 | 목이 타다,,
감,Noun,,,
감각,Noun,느끼다 | 느낌 | 뉘앙스,,
감감무소식,Noun,깜깜하다 | 소식이 없다 | 감감하다 | 무소식 | 무신,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
감감하다,Adjective,깜깜하다 | 소식이 없다 | 감감무소식 | 무소식 | 무신,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
감격,Noun,,,
감금,Noun,,,
감기,Noun,기침 | 해수,,
감다,Verb,,눈을,
감당,Noun,사명 | 책임 | 담당 | 소임 | 역임 | 맡다 | 책임지다,,
감독,Noun,감수,,
감독관,Noun,감독자,,
감독자,Noun,감독관,,
감동,Noun,,,
감리교,Noun,,,
감면,Noun,빼다 | 깎다 | 덜다 | 제하다 | 배제 | 빼기 | 제외 | 공제 | 생략 | 경감,,
감사,Noun,점검 | 감시 | 감찰 | 검토 | 검사 | 수사 | 사찰 | 조사 | 살펴보다 | 살피다,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
감사합니다,Exclamation,감사 | 고맙다,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
감소,Noun,줄이다 | 절감 | 축소 | 줄다,,
감수,Noun,감독,,
감시,Noun,점검 | 감사 | 감찰 | 검토 | 검사 | 수사 | 사찰 | 조사 | 살펴보다 | 살피다,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
감싸다,Verb,둘러싸다 | 에워싸다,,
감염,Noun,전염 | 옮다 | 걸리다,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
감옥,Noun,교도소 | 형무소,,
감자,Noun,,,
감정,Noun,기분 | 정서,,
감찰,Noun,점검 | 감사 | 감시 | 검토 | 검사 | 수사 | 사찰 | 조사 | 살펴보다 | 살피다,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
감추다,Verb,숨다 | 은닉,,
감투,Noun,관,,
감표,Noun,마이너스 | 덜기 | 빼기 | 빼기표 | 뺄셈표 | 뺄셈 부호,,
감히,Adverb,,,
갑갑하다,Adjective,답답하다,,
갑자기,Adverb,갑작스럽다 | 별안간 | 갑작스레,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
갑작스럽다,Adjective,갑자기 | 별안간 | 갑작스레,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
갑작스레,Adverb,갑자기 | 갑작스럽다 | 별안간,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
갑절,Noun,배 | 곱 | 곱절,,
값,Noun,요금 | 사용료,,
갓,Adverb,지금 | 이제 | 인제 | 현재 | 시방,,
갓난아기,Noun,갓난아이 | 아기 | 영아 | 젖먹이,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
갓난아이,Noun,갓난아기 | 아기 | 영아 | 젖먹이,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
강,Noun,,,
강간,Noun,성폭행,,
강건하다,Adjective,건강 | 기력 | 튼튼하다,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
강구,Noun,강요,,
강냉이,Noun,옥수수,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
강당,Noun,,,
강도,Noun,,,
강습,Noun,,,
강습소,Noun,,,
강아지,Noun,개,,
강연,Noun,연설,,
강요,Noun,강구,,
강우,Noun,비 | 비가 내리다,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
강원도,Noun,,,
강의,Noun,이야기 | 설교,,
강자,Noun,,,
강제,Noun,억지 | 형벌 | 징계 | 꼬집다 | 벌 | 징벌,,
강좌,Noun,과목 | 교과 | 학과목 | 교과목,,
강하다,Adjective,견고하다 | 굳다 | 단단하다 | 딱딱하다 | 공고하다 | 세다 | 억세다,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
강화도,Noun,,,
갖가지,Determiner,온갖 | 가지가지 | 여러 가지,,
갖다,Verb,가지다 | 지니다 | 취하다 | 소유하다 | 소지하다,,
같다,Adjective,마찬가지 | 동일 | 맞다 | 동 | 똑같다,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
같이,Adverb,함께 | 동반 | 랑 | 아울러 | 더불다 | -끼리,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
갚다,Verb,상환 | 배상,,
갚았다,Verb,,,
개,Noun,강아지,,
개개,Noun,개별 | 각 | 각각 | 각기 | 낱낱이 | 제각기 | 각자,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
개경,Noun,개성,,
개구리,Noun,,,
개그맨,Noun,개그우먼,,
개그우먼,Noun,개그맨,,
개나리,Noun,,,
개다,Verb,개키다 | 싸다 | 포장,,동음이의어 있음
개다,Verb,하늘,,동음이의어 있음
개막식,Noun,개식,,
개미,Noun,,,
개방,Noun,열다,,
개별,Noun,각 | 각각 | 각기 | 개개 | 낱낱이 | 제각기 | 각자,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
개성,Noun,개경,,
개수,Noun,얼마 | 몇,,
개시,Noun,시작 | 개최 | 거행 | 시발 | 착수 | 출발 | 열다 | 이행 | 하수,,
개식,Noun,개막식,,
개안,Noun,깨닫다 | 뜨다,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
개울,Noun,시내 | 산천,,
개월,Dependent Noun,몇 개월,,
개의,Noun,,,
개인,Noun,사,,
개천일,Noun,개천절,,
개천절,Noun,개천일,,
개최,Noun,시작 | 개시 | 거행 | 시발 | 착수 | 출발 | 열다 | 이행 | 하수,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
개키다,Verb,개다 | 싸다 | 포장,,
개학,Noun,,,
개회,Noun,,,
객,Noun,초대 | 고객 | 내빈 | 손님 | 초빙,,
갭,Noun,차이,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
갱,Noun,깡패 | 불량배,,
갱생,Noun,회복 | 소생 | 재생 | 회생,,
거개,Noun,거의 | 대부분 | 주로,,
거거년,Noun,재작년 | 전전년 | 전전해 | 지지난해 | 재작년도,,
거년,Noun,작년 | 지난해 | 과년 | 전년,,
거동,Noun,행동 | 동작 | 짓 | 품행 | 행실 | 행위 | 움직이다 | 행하다,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
거두다,Verb,수확,,
거들다,Verb,돕다 | 기여 | 도움 | 보조 | 원조 | 지원 | 찬조,,
거듭,Adverb,반복 | 수시로 | 자꾸 | 자주 | 잦다 | 여러 번 | 연거푸 | 재차 | 빈번히,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
거래,Noun,,,
거룩하다,Adjective,성스럽다,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
거리,Noun,길거리 | 통행,,
거만,Noun,교만 | 오만 | 건방지다 | 잘난 척하다,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
거미,Noun,,,
거부,Noun,싫다 | 거절 | 난색,,
거부권,Noun,,,
거부당하다,Verb,기각 | 부결,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
거북,Noun,,,
거북하다,Adjective,갈등 | 마찰 | 껄끄럽다 | 낯설다,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
거세다,Adjective,맹렬하다 | 진하다 | 힘차다,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
거스름돈,Noun,잔액 | 잔금 | 잔돈,,
거울,Noun,유리,,
거의,Adverb,거개 | 대부분 | 주로,,
거인,Noun,,,
거저,Adverb,공것 | 공짜 | 무료 | 면제 | 면하다,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
거절,Noun,싫다 | 거부 | 난색,(같은 수어를 사용하는 어휘와 품사 다를 수 있음) | 동음이의어,동음이의어 있음
거절,Noun,방어 | 방지 | 수비 | 막다 | 저지 | 차단,(같은 수어를 사용하는 어휘와 품사 다를 수 있음) | 동음이의어,동음이의어 있음
거제도,Noun,,,
거주민,Noun,주민,,
거주지,Noun,,,
거지,Noun,걸인,,
거짓,Noun,허위,,
거처,Noun,,,
거치다,Verb,방해 | 지장,,
거행,Noun,시작 | 개시 | 개최 | 시발 | 착수 | 출발 | 열다 | 이행 | 하수,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
걱정,Noun,근심 | 상심 | 시름 | 염려 | 우수 | 괴롭다,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
건강,Noun,기력 | 강건하다 | 튼튼하다,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
건강 센터,Noun,헬스클럽 | 헬스장 | 피트니스클럽 | 피트니스센터,,
건너다,Verb,횡단 | 넘다 | 넘어가다 | 침범,,
건네주다,Verb,주다 | 내밀다 | 내주다 | 제공 | 교부,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
건립,Noun,설립 | 수립 | 세우다,,
건방지다,Adjective,교만 | 거만 | 오만 | 잘난 척하다,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
건빵,Noun,,,
건설,Noun,건축,,
건설교통부,Noun,,,
건의,Noun,제의,,
건전,Adjective,,,
건조,Noun,,,
건지다,Verb,구원 | 구출 | 구하다 | 채용,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
건청,Noun,,,
건청인,Noun,,,
건축,Noun,건설,,
건축가,Noun,,,
건태,Noun,북어 | 명태,,
걷다,Verb,걸음 | 도보 | 보행,,
걷어붙이다,Verb,적극,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
걷어차다,Verb,차다,사람을,
걷히다,Verb,,,
걸레,Noun,행주,,
걸리다,Verb,,동음이의어,동음이의어 있음
걸리다,Verb,감염 | 전염 | 옮다,(같은 수어를 사용하는 어휘와 품사 다를 수 있음) | 동음이의어,동음이의어 있음
걸리다,Adjective,징그럽다 | 떠오르다,좋지 않은 기억이나 생각이 | 마음에; (같은 수어를 사용하는 어휘와 품사 다를 수 있음) | 동음이의어,동음이의어 있음
걸상,Noun,의자,,
걸음,Noun,걷다 | 도보 | 보행,(같은 수어를 사용하는 어휘와 품사 다를 수 있음) | 동음이의어,동음이의어 있음
걸음,Noun,발걸음 | 발자국 | 밟다,(같은 수어를 사용하는 어휘와 품사 다를 수 있음) | 동음이의어,동음이의어 있음
걸인,Noun,거지,,
검거,Noun,붙들다 | 붙잡다 | 잡다,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
검다,Adjective,검정 | 까맣다 | 타다 | 흑,,
검도,Noun,,,
검문소,Noun,,,
검사,Noun,점검 | 감사 | 감시 | 감찰 | 검토 | 수사 | 사찰 | 조사 | 살펴보다 | 살피다,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
검약,Noun,절약,,
검은색,Noun,검정색 | 흑 | 흑색,,
검정,Noun,검다 | 까맣다 | 타다 | 흑,,
검정색,Noun,검은색 | 흑 | 흑색,,
검진,Noun,진단 | 진료 | 진찰,,
검토,Noun,점검 | 감사 | 감시 | 감찰 | 검사 | 수사 | 사찰 | 조사 | 살펴보다 | 살피다,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
겁,Noun,무섭다 | 겁나다 | 두려워하다 | 두렵다,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
겁나다,Adjective,무섭다 | 겁 | 두려워하다 | 두렵다,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
것,Dependent Noun,몫 | 소유,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
겉,Noun,,,
겉멋,Noun,,,
겉옷,Noun,외투,,
게다가,Adverb,더 | 더구나 | 추가 | 더욱 | 더군다나,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
게시,Noun,제시,,
게양,Noun,달다,,
게우다,Verb,구토 | 토하다,,
게으르다,Adjective,게으름 | 게으름을 피우다 | 나태 | 태만,,
게으름,Noun,게으르다 | 게으름을 피우다 | 나태 | 태만,,
게으름뱅이,Noun,게으름쟁이,,
게으름을 피우다,Verb,게으름 | 게으르다 | 나태 | 태만,,
게으름쟁이,Noun,게으름뱅이,,
게이,Noun,호모,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
겨레,Noun,동포,,
겨루기,Noun,겨루다 | 경쟁 | 고사 | 고시 | 수험 | 승부 | 시합 | 시험,,
겨루다,Verb,겨루기 | 경쟁 | 고사 | 고시 | 수험 | 승부 | 시합 | 시험,,
겨울옷,Noun,동복,,
격일,Noun,,,
격주,Noun,,,
격퇴,Noun,물리치다 | 퇴치,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
격투,Noun,싸우다 | 싸움 | 투쟁,,
격파,Noun,깨어지다,,
겪다,Verb,당하다 | -던 | -았 | 적 | -었,,
견고하다,Adjective,강하다 | 굳다 | 단단하다 | 딱딱하다 | 공고하다 | 세다 | 억세다,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
견디다,Verb,참다 | 인내 | 자제 | 억제,,
견인,Noun,,,
견주다,Verb,비교 | 비례 | 대다,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
견해,Noun,생각 | 사고 | 신경 | 의견 | 의사 | 의식 | 여기다,,
결과,Noun,결말 | 마지막 | 최종 | 최후 | 결국 | 드디어 | 마침내,,
결국,Adverb,결과 | 결말 | 마지막 | 최종 | 최후 | 드디어 | 마침내,,
결단,Noun,,,
결말,Noun,결과 | 마지막 | 최종 | 최후 | 결국 | 드디어 | 마침내,,
결백,Noun,깔끔하다 | 깨끗하다 | 말끔하다 | 산뜻하다 | 소박하다 | 순결 | 순수 | 정결 | 청결,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
결석,Noun,,,
결손,Noun,손해 | 손실,동음이의어,동음이의어 있음
결손,Noun,모자라다 | 결핍 | 부족 | 모자람,(같은 수어를 사용하는 어휘와 품사 다를 수 있음) | 동음이의어,동음이의어 있음
결실을 맺다,Verb,열매,,
결심,Noun,결의 | 각오 | 작정,,
결의,Noun,결심,,
결정,Noun,정하다,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
결제,Noun,납부 | 납입 | 지급 | 지불 | 내다,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
결코,Adverb,절대 | 공 | 공공 | 절대로,,
결핍,Noun,모자라다 | 결손 | 부족 | 모자람,,
결함,Noun,불량,,
결핵,Noun,폐결핵 | 폐병,,
결핵균,Noun,,,
결혼,Noun,혼인 | 화혼,,
결혼식,Noun,혼례 | 혼례식,,
겸손,Noun,겸허,,
겸하다,Verb,,,
겸허,Noun,겸손,,
겹겹이,Adverb,,,
겹치다,Verb,,,
경감,Noun,빼다 | 깎다 | 덜다 | 제하다 | 배제 | 감면 | 빼기 | 제외 | 공제 | 생략,,
경건하다,Adjective,,,
경계,Noun,,,
경고,Noun,,,
경과,Noun,흐르다,,
경관,Noun,경찰관 | 경찰,,
경기,Noun,시합,,
경기도,Noun,,,
경기장,Noun,,,
경남,Noun,경상남도,,
경력,Noun,이력,,
경례,Noun,인사,,
경마장,Noun,,,
경매,Noun,,,
경멸,Noun,깔보다 | 멸시 | 업신여기다,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
경북,Noun,경상북도,,
경비,Noun,보초 | 수위 | 파수 | 지키다,,
경비병,Noun,병위,,
경비실,Noun,,,
경비원,Noun,파수꾼,,
경상남도,Noun,경남,,
경상도,Noun,,,
경상북도,Noun,경북,,
경색,Noun,,,
경악,Noun,깜짝 | 놀라다,,
경어법,Noun,높임법,,
경우,Noun,때 | 시기 | 시대 | 시절 | 무렵 | 즈음,,
경운궁,Noun,덕수궁 | 명례궁,,
경위,Noun,경과,,
경음,Noun,된소리,,
경장,Noun,경전,,
경쟁,Noun,겨루다 | 겨루기 | 고사 | 고시 | 수험 | 승부 | 시합 | 시험,,
경전,Noun,경장,,
경제,Noun,,,
경주,Noun,경주시,,
경주시,Noun,경주,,
경찰,Noun,경찰관 | 경관 | 순경 | 순사,,
경찰관,Noun,경관 | 경찰,,
경찰서,Noun,,,
경치,Noun,관람 | 구경 | 풍경,,
경험,Noun,,,
계,Noun,,,
계급,Noun,,,
계기,Noun,동기 | 말미암다 | -자,,
계단,Noun,층계,,
계란,Noun,알 | 달걀,,
계모,Noun,,,
계산,Noun,수 | 셈 | 세다¹ | 헤아리다,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
계산대,Noun,카운터,,
계속,Adverb,연속 | 이어 | 내내 | -면서 | 지속 | 끊임없이,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
계승,Noun,승계,,
계승인,Noun,계승자,,
계승자,Noun,계승인,,
계시다,Verb,머무르다 | 존재 | 체류 | 묵다,,
계약,Noun,맺다 | 예매 | 예약,,
계약금,Noun,,,
계약서,Noun,,,
계율,Noun,,,
계절,Noun,사계 | 사계절 | 사철 | 철 | 시절 | 철기,,
계집,Noun,여성 | 부녀 | 부녀자 | 여인 | 여자,,
계책,Noun,꾀,,
계통,Noun,종류 | 종,,
계획,Noun,,,
고,Adjective,옛,,
고갈,Noun,매진 | 소모 | 동나다 | 매진되다 | 바닥나다 | 없애다 | 다 팔리다,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
고객,Noun,초대 | 객 | 내빈 | 손님 | 초빙,,
고교,Noun,고등학교,,
고교생,Noun,고등학생,,
고구려,Noun,,,
고구마,Noun,,,
고궁,Noun,대궐 | 궁 | 궁궐 | 궁전,,
고급,Noun,,,
고기,Noun,가죽 | 살,,
고난,Noun,고생 | 고초 | 고통,,
고독,Noun,외롭다 | 쓸쓸하다,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
고등,Noun,,,
고등학교,Noun,고교,,
고등학생,Noun,고교생,,
고려,Noun,,,
고루고루,Adverb,유사 | 흡사 | 근사하다 | 비슷하다 | 유사하다 | 흡사히,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
고르다,Verb,가리다 | 선별,,
고릴라,Noun,,,
고만하다,Verb,그만하다 | 이만하다 | 저만하다,,
고맙다,Adjective,감사합니다 | 감사,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
고모,Noun,,,
고무,Noun,삭제 | 고무지우개 | 지우다,,
고무신,Noun,,,
고무줄,Noun,,,
고무지우개,Noun,삭제 | 고무 | 지우다,,
고민,Noun,,,
고발,Noun,고자질 | 일러바치다,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
고백,Noun,고해,,
고백성사,Noun,고해 | 고해성사,,
고사,Noun,겨루다 | 겨루기 | 경쟁 | 고시 | 수험 | 승부 | 시합 | 시험,,
고생,Noun,고난 | 고초 | 고통,,
고속,Noun,급행,,
고속도로,Noun,,,
고속버스,Noun,,,
고속철,Noun,고속철도,,
고속철도,Noun,고속철,,
고시,Noun,겨루다 | 겨루기 | 경쟁 | 고사 | 수험 | 승부 | 시합 | 시험,,
고아,Noun,,,
고아원,Noun,보육원,,
고양,Noun,,,
고양이,Noun,,,
고용,Noun,채용,,
고용인,Noun,근로자 | 노동자 | 노무자 | 사원 | 일꾼 | 종업원 | 직원,,
고의,Noun,일부러,,
고인,Noun,사망자 | 사자,죽은자,
고자질,Noun,고발 | 일러바치다,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
고장,Noun,꺾다 | 부러지다,,
고장나다,Verb,부러지다,,
고정,Noun,,,
고조할머니,Noun,,,
고조할아버지,Noun,,,
고집,Noun,,,
고초,Noun,고난 | 고생 | 고통,,
고추,Noun,,,
고추장,Noun,,,
고춧가루,Noun,,,
고층,Noun,,,
고통,Noun,고난 | 고생 | 고초,,
고프다,Adjective,시장 | 굶다 | 배고프다,,
고함,Noun,비명 | 아우성 | 부르짖다 | 외치다 | 지르다 | 소리를 지르다 | 소리치다,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
고해,Noun,고백성사 | 고해성사,동음이의어,동음이의어 있음
고해,Noun,고백,동음이의어,동음이의어 있음
고해성사,Noun,고백성사 | 고해,,
고향,Noun,,,
고환,Noun,,,
고희,Noun,칠순,,
곡괭이,Noun,,,
곡해,Noun,오해,,
곤궁,Noun,가난 | 궁핍 | 빈곤 | 궁색하다,(같은 수어를 사용하는 어휘와 품사 다를 수 있음),
곤두박질,Noun,곤두질 | 떨어지다,,
곤두질,Noun,곤두박질 | 떨어지다,,
곤란,Noun,,,
곤충,Noun,벌레,,
